City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,Vardo,70.3705,31.1107,55.38,88,85,10.36,NO,2022-07-12 22:41:31
359,Alcaniz,41.05,-0.1333,82.63,35,0,6.24,ES,2022-07-12 22:43:27
360,Hukuntsi,-24.0,21.75,56.73,37,0,7.58,BW,2022-07-12 22:43:27
361,Hasaki,35.7333,140.8333,73.8,94,100,7.56,JP,2022-07-12 22:43:27
362,Sorong,-0.8833,131.25,76.71,90,100,5.64,ID,2022-07-12 22:40:16
363,Boa Vista,2.8197,-60.6733,82.38,69,40,4.61,BR,2022-07-12 22:43:28
364,Sechura,-5.5569,-80.8222,68.76,66,42,17.6,PE,2022-07-12 22:43:28
365,Cockburn Town,21.4612,-71.1419,81.97,84,4,17.96,TC,2022-07-12 22:39:03
366,Havre-Saint-Pierre,50.2334,-63.5986,59.36,100,100,11.5,CA,2022-07-12 22:43:29
367,Sambava,-14.2667,50.1667,69.06,88,55,9.95,MG,2022-07-12 22:43:29
368,Yamada,39.4667,141.95,71.35,96,100,4.05,JP,2022-07-12 22:43:29
369,Ola,59.5833,151.2833,57.9,94,99,4.85,RU,2022-07-12 22:43:30
370,Eirunepe,-6.6603,-69.8736,79.54,71,97,2.17,BR,2022-07-12 22:44:30
371,Gaya,24.7833,85.0,85.57,66,47,10.02,IN,2022-07-12 22:44:31
372,Saldanha,-33.0117,17.9442,44.65,80,0,1.63,ZA,2022-07-12 22:44:31
373,Hovd,48.0056,91.6419,65.61,47,100,3.87,MN,2022-07-12 22:44:32
374,Eyl,7.9803,49.8164,78.76,68,100,24.79,SO,2022-07-12 22:44:32
375,Inta,66.0317,60.1659,64.47,87,78,12.44,RU,2022-07-12 22:44:32
376,Pavino,59.1139,46.1414,62.83,99,97,6.22,RU,2022-07-12 22:44:33
377,Caronport,50.4501,-105.8179,84.4,28,3,3.49,CA,2022-07-12 22:44:33
378,Birjand,32.8663,59.2211,68.47,22,0,0.0,IR,2022-07-12 22:44:33
379,Moree,-29.4667,149.85,49.96,76,56,10.47,AU,2022-07-12 22:44:34
