City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
161,Geraldton,AU,2022-07-20 21:38:35,-28.7667,114.6,66.61,94,100,19.57,overcast clouds
162,Prado,BR,2022-07-20 21:38:35,-17.3411,-39.2208,70.79,82,9,7.96,clear sky
163,Vao,NC,2022-07-20 21:33:28,-22.6667,167.4833,73.89,88,98,10.2,overcast clouds
164,Iqaluit,CA,2022-07-20 21:33:23,63.7506,-68.5145,47.93,87,75,3.44,broken clouds
165,Sechura,PE,2022-07-20 21:33:22,-5.5569,-80.8222,72.63,58,27,17.18,scattered clouds
166,Barrow,US,2022-07-20 21:35:31,71.2906,-156.7887,51.82,62,100,6.91,overcast clouds
167,Skovorodino,RU,2022-07-20 21:38:36,53.9833,123.9167,64.89,96,84,4.88,light rain
168,Mersing,MY,2022-07-20 21:38:36,2.4312,103.8405,75.11,100,20,4.61,few clouds
169,Balkanabat,TM,2022-07-20 21:36:46,39.5108,54.3671,85.46,48,0,6.38,clear sky
170,Saint Anthony,US,2022-07-20 21:38:37,45.0205,-93.218,88.93,35,0,21.85,clear sky
171,Tornio,FI,2022-07-20 21:34:36,65.8481,24.1466,53.62,84,73,3.53,broken clouds
172,Neustadt,DE,2022-07-20 21:38:38,49.7117,12.0872,74.7,82,100,13.96,overcast clouds
173,Victoria,HK,2022-07-20 21:29:42,22.2855,114.1577,86.38,85,21,8.99,few clouds
174,Venezuela,VE,2022-07-20 21:38:38,8.0,-66.0,83.82,61,43,2.53,scattered clouds
175,Esperance,AU,2022-07-20 21:33:29,-33.8667,121.9,62.51,52,100,21.27,light rain
176,Hailey,US,2022-07-20 21:38:39,43.5196,-114.3153,94.87,18,40,11.99,scattered clouds
177,Oranjemund,NA,2022-07-20 21:38:39,-28.55,16.4333,52.83,81,47,16.8,scattered clouds
178,Neryungri,RU,2022-07-20 21:38:39,56.6709,124.6491,62.44,90,39,3.89,scattered clouds
179,Loa Janan,ID,2022-07-20 21:39:40,-0.583,117.095,72.57,99,18,0.96,few clouds
180,Qurayyat,SA,2022-07-20 21:39:40,31.3318,37.3428,80.78,36,0,13.8,clear sky
181,Chuy,UY,2022-07-20 21:33:20,-33.6971,-53.4616,55.89,95,2,6.49,clear sky
182,Panzhihua,CN,2022-07-20 21:39:41,26.5851,101.7128,68.31,97,100,0.78,overcast clouds
183,Vostok,RU,2022-07-20 21:39:41,46.4856,135.8833,63.84,94,14,1.36,few clouds
184,Guangyuan,CN,2022-07-20 21:39:41,32.442,105.823,69.58,95,12,1.54,few clouds
185,Cherskiy,RU,2022-07-20 21:39:42,68.75,161.3,44.01,54,15,13.56,few clouds
186,Guerrero Negro,MX,2022-07-20 21:32:12,27.9769,-114.0611,83.34,44,14,15.99,few clouds
